County,State,FIPS Code,Formatted FIPS,Estimated percent of all people that are living in poverty as of
Posey,IN,18129,18129,8.93
Pulaski,IN,18131,18131,12.24
Putnam,IN,18133,18133,11.34
Randolph,IN,18135,18135,14.74
Ripley,IN,18137,18137,11.91
Rush,IN,18139,18139,14.47
St. Joseph,IN,18141,18141,15.52
Scott,IN,18143,18143,14.87
Shelby,IN,18145,18145,11.26
Spencer,IN,18147,18147,9.3
Starke,IN,18149,18149,14.83
Steuben,IN,18151,18151,9.33
Sullivan,IN,18153,18153,12
Switzerland,IN,18155,18155,18.97
Tippecanoe,IN,18157,18157,18.72
Tipton,IN,18159,18159,8.54
Union,IN,18161,18161,7.38
Vanderburgh,IN,18163,18163,16.68
Vermillion,IN,18165,18165,14.95
Vigo,IN,18167,18167,19.06
Wabash,IN,18169,18169,11.53
Warren,IN,18171,18171,11.76
Warrick,IN,18173,18173,6.9
Washington,IN,18175,18175,11.91
Wayne,IN,18177,18177,16.36
Wells,IN,18179,18179,8.42
White,IN,18181,18181,9.23
Whitley,IN,18183,18183,9.66
Adair,IA,19001,19001,10.88
Adams,IA,19003,19003,14.08
Allamakee,IA,19005,19005,10.96
Appanoose,IA,19007,19007,17.65
Audubon,IA,19009,19009,11.67
Benton,IA,19011,19011,8.81
Black Hawk,IA,19013,19013,15.81
Boone,IA,19015,19015,7.61
Bremer,IA,19017,19017,7.39
Buchanan,IA,19019,19019,8.69
Buena Vista,IA,19021,19021,12.93
Butler,IA,19023,19023,10.31
Calhoun,IA,19025,19025,12.57
Carroll,IA,19027,19027,8.58
Cass,IA,19029,19029,13.85
Cedar,IA,19031,19031,6.92
Cerro Gordo,IA,19033,19033,10.15
Cherokee,IA,19035,19035,11.1
Chickasaw,IA,19037,19037,6.69
Clarke,IA,19039,19039,12.91
Clay,IA,19041,19041,10.85
Clayton,IA,19043,19043,11.53
Clinton,IA,19045,19045,13.08
Crawford,IA,19047,19047,17.7
Dallas,IA,19049,19049,5.22
Davis,IA,19051,19051,9.88
Decatur,IA,19053,19053,18.42
Delaware,IA,19055,19055,9.18
Des Moines,IA,19057,19057,16.11
Dickinson,IA,19059,19059,8.24
Dubuque,IA,19061,19061,11.42
Emmet,IA,19063,19063,12.42
Fayette,IA,19065,19065,11.36
Floyd,IA,19067,19067,14.51
Franklin,IA,19069,19069,13.65
Fremont,IA,19071,19071,10.56
Greene,IA,19073,19073,8.28
Grundy,IA,19075,19075,5.6
Guthrie,IA,19077,19077,8.68
Hamilton,IA,19079,19079,9.81
Hancock,IA,19081,19081,10.03
Hardin,IA,19083,19083,9.65
Harrison,IA,19085,19085,9.79
Henry,IA,19087,19087,10.71
Howard,IA,19089,19089,9.01
Humboldt,IA,19091,19091,13.01
Ida,IA,19093,19093,9.61
Iowa,IA,19095,19095,8.74
Jackson,IA,19097,19097,13.09
Jasper,IA,19099,19099,9.04
Jefferson,IA,19101,19101,12.09
Johnson,IA,19103,19103,18.1
Jones,IA,19105,19105,9.04
Keokuk,IA,19107,19107,9.91
Kossuth,IA,19109,19109,10.88
Lee,IA,19111,19111,14.18
Linn,IA,19113,19113,10.2
Louisa,IA,19115,19115,10.15
Lucas,IA,19117,19117,11.8
Lyon,IA,19119,19119,4.64
Madison,IA,19121,19121,5.03
Mahaska,IA,19123,19123,13.67
Marion,IA,19125,19125,7.81
Marshall,IA,19127,19127,12.03
Mills,IA,19129,19129,8.33
Mitchell,IA,19131,19131,6.86
Monona,IA,19133,19133,14.59
Monroe,IA,19135,19135,10.53
Montgomery,IA,19137,19137,11.98
Muscatine,IA,19139,19139,9.63
O'Brien,IA,19141,19141,10.67
Osceola,IA,19143,19143,12.53
Page,IA,19145,19145,11.45
Palo Alto,IA,19147,19147,6.39
Plymouth,IA,19149,19149,9.08
Pocahontas,IA,19151,19151,10.74
Polk,IA,19153,19153,10.4
Pottawattamie,IA,19155,19155,10.73
Poweshiek,IA,19157,19157,9.92
Ringgold,IA,19159,19159,8.7
Sac,IA,19161,19161,9.87
Scott,IA,19163,19163,12.07
Shelby,IA,19165,19165,7.98
Sioux,IA,19167,19167,6.3
Story,IA,19169,19169,20.94
Tama,IA,19171,19171,11.95
Taylor,IA,19173,19173,10.04
Union,IA,19175,19175,14.23
Van Buren,IA,19177,19177,12.82
Wapello,IA,19179,19179,14.94
Warren,IA,19181,19181,8.17
Washington,IA,19183,19183,9.86
Wayne,IA,19185,19185,17.2
Webster,IA,19187,19187,13.73
Winnebago,IA,19189,19189,8.97
Winneshiek,IA,19191,19191,8.22
Woodbury,IA,19193,19193,12.68
Worth,IA,19195,19195,8.62
Wright,IA,19197,19197,11.69
Allen,KS,20001,20001,17.68
Anderson,KS,20003,20003,15.01
Atchison,KS,20005,20005,15.22
Barber,KS,20007,20007,16.39
Barton,KS,20009,20009,15.39
Bourbon,KS,20011,20011,16.1
Brown,KS,20013,20013,13.23
Butler,KS,20015,20015,9.49
Chase,KS,20017,20017,11.77
Chautauqua,KS,20019,20019,18.51
Cherokee,KS,20021,20021,13.1
Cheyenne,KS,20023,20023,9.44
Clark,KS,20025,20025,10.9
Clay,KS,20027,20027,8.09
Cloud,KS,20029,20029,11.35
Coffey,KS,20031,20031,12.4
Comanche,KS,20033,20033,10.52
Cowley,KS,20035,20035,14.13
Crawford,KS,20037,20037,20.34
Decatur,KS,20039,20039,15.58
Dickinson,KS,20041,20041,11.87
Doniphan,KS,20043,20043,13.36
Douglas,KS,20045,20045,18
Edwards,KS,20047,20047,9.96
Elk,KS,20049,20049,17.95
Ellis,KS,20051,20051,15.49
Ellsworth,KS,20053,20053,9.29
Finney,KS,20055,20055,12.35
Ford,KS,20057,20057,14.5
Franklin,KS,20059,20059,9.84
Geary,KS,20061,20061,13.04
Gove,KS,20063,20063,10
Graham,KS,20065,20065,9.84
Grant,KS,20067,20067,11.48
Gray,KS,20069,20069,5.68
Greeley,KS,20071,20071,7.45
Greenwood,KS,20073,20073,13.33
Hamilton,KS,20075,20075,10.5
Harper,KS,20077,20077,16.07
Harvey,KS,20079,20079,9.58
Haskell,KS,20081,20081,10.53
Hodgeman,KS,20083,20083,11.15
Jackson,KS,20085,20085,11.67
Jefferson,KS,20087,20087,7.5
Jewell,KS,20089,20089,17.71
Johnson,KS,20091,20091,5.37
Kearny,KS,20093,20093,19.61
Kingman,KS,20095,20095,7.61
Kiowa,KS,20097,20097,6.72
Labette,KS,20099,20099,18.4
Lane,KS,20101,20101,11.99
Leavenworth,KS,20103,20103,8.51
Lincoln,KS,20105,20105,9.22
Linn,KS,20107,20107,16.33
Logan,KS,20109,20109,8.09
Lyon,KS,20111,20111,16.95
McPherson,KS,20113,20113,8.77
Marion,KS,20115,20115,8.69
Marshall,KS,20117,20117,8.94
Meade,KS,20119,20119,6.51
Miami,KS,20121,20121,6.89
Mitchell,KS,20123,20123,14.78
Montgomery,KS,20125,20125,18.72
Morris,KS,20127,20127,8.99
Morton,KS,20129,20129,10.21
Nemaha,KS,20131,20131,8.77
Neosho,KS,20133,20133,18.79
Ness,KS,20135,20135,10.19
Norton,KS,20137,20137,12.36
Osage,KS,20139,20139,14.27
Osborne,KS,20141,20141,14.82
Ottawa,KS,20143,20143,9.89
Pawnee,KS,20145,20145,6.37
Phillips,KS,20147,20147,9.81
Pottawatomie,KS,20149,20149,8.09
Pratt,KS,20151,20151,11.66
Rawlins,KS,20153,20153,10.97
Reno,KS,20155,20155,12.86
Republic,KS,20157,20157,10.84
Rice,KS,20159,20159,14.23
Riley,KS,20161,20161,22.38
Rooks,KS,20163,20163,7.82
Rush,KS,20165,20165,10.32
Russell,KS,20167,20167,11.14
Saline,KS,20169,20169,11.52
Scott,KS,20171,20171,6.05
Sedgwick,KS,20173,20173,13.72
Seward,KS,20175,20175,16.87
Shawnee,KS,20177,20177,11.44
Sheridan,KS,20179,20179,5.27
Sherman,KS,20181,20181,11.51
Smith,KS,20183,20183,11.26
Stafford,KS,20185,20185,12.52
Stanton,KS,20187,20187,18.3
Stevens,KS,20189,20189,20.01
Sumner,KS,20191,20191,11.84
Thomas,KS,20193,20193,11.96
Trego,KS,20195,20195,6.93
Wabaunsee,KS,20197,20197,4.88
Wallace,KS,20199,20199,9.43
Washington,KS,20201,20201,10.86
Wichita,KS,20203,20203,3.29
Wilson,KS,20205,20205,14.13
Woodson,KS,20207,20207,19.6
Wyandotte,KS,20209,20209,19.18
Adair,KY,21001,21001,20.54
Allen,KY,21003,21003,18.72
Anderson,KY,21005,21005,15.7
Ballard,KY,21007,21007,15.37
Barren,KY,21009,21009,24.22
Bath,KY,21011,21011,20.45
Bell,KY,21013,21013,35.5
Boone,KY,21015,21015,7.18
Bourbon,KY,21017,21017,15.29
Boyd,KY,21019,21019,18.87
Boyle,KY,21021,21021,14.24
Bracken,KY,21023,21023,17.83
Breathitt,KY,21025,21025,34.42
Breckinridge,KY,21027,21027,18.56
Bullitt,KY,21029,21029,9.01
Butler,KY,21031,21031,19.26
Caldwell,KY,21033,21033,16.78
Calloway,KY,21035,21035,21.52
Campbell,KY,21037,21037,13.5
Carlisle,KY,21039,21039,16.85
Carroll,KY,21041,21041,24.08
Carter,KY,21043,21043,25.34
Casey,KY,21045,21045,25.47
Christian,KY,21047,21047,19.59
Clark,KY,21049,21049,14.74
Clay,KY,21051,21051,36.6
Clinton,KY,21053,21053,24.14
Crittenden,KY,21055,21055,14.49
Cumberland,KY,21057,21057,21.37
Daviess,KY,21059,21059,16.58
Edmonson,KY,21061,21061,18.17
Elliott,KY,21063,21063,30.58
Estill,KY,21065,21065,30.85
Fayette,KY,21067,21067,16.81
Fleming,KY,21069,21069,19.89
Floyd,KY,21071,21071,30.67
Franklin,KY,21073,21073,12.36
Fulton,KY,21075,21075,28.24
Gallatin,KY,21077,21077,14.79
Garrard,KY,21079,21079,15.73
Grant,KY,21081,21081,16.4
Graves,KY,21083,21083,19.6
Grayson,KY,21085,21085,25.42
Green,KY,21087,21087,18.05
Greenup,KY,21089,21089,16.86
Hancock,KY,21091,21091,11.75
Hardin,KY,21093,21093,13.24
Harlan,KY,21095,21095,35.98
Harrison,KY,21097,21097,17.56
Hart,KY,21099,21099,21.49
Henderson,KY,21101,21101,18.55
Henry,KY,21103,21103,18.26
Hickman,KY,21105,21105,14.85
Hopkins,KY,21107,21107,19.35
Jackson,KY,21109,21109,32.02
Jefferson,KY,21111,21111,14.24
Jessamine,KY,21113,21113,16.94
Johnson,KY,21115,21115,22.68
Kenton,KY,21117,21117,11.48
Knott,KY,21119,21119,31.23
Knox,KY,21121,21121,33.24
Larue,KY,21123,21123,14.64
Laurel,KY,21125,21125,23.2
Lawrence,KY,21127,21127,26.51
Lee,KY,21129,21129,34.6
Leslie,KY,21131,21131,38
Letcher,KY,21133,21133,33.65
Lewis,KY,21135,21135,24.41
Lincoln,KY,21137,21137,21.26
Livingston,KY,21139,21139,14.57
Logan,KY,21141,21141,16.98
Lyon,KY,21143,21143,15.8
McCracken,KY,21145,21145,15.78
McCreary,KY,21147,21147,33.43
McLean,KY,21149,21149,16.07
Madison,KY,21151,21151,18.89
Magoffin,KY,21153,21153,28.29
Marion,KY,21155,21155,23.05
Marshall,KY,21157,21157,10.41
Martin,KY,21159,21159,19.97
Mason,KY,21161,21161,17.79
Meade,KY,21163,21163,12.14
Menifee,KY,21165,21165,23.71
Mercer,KY,21167,21167,14.18
Metcalfe,KY,21169,21169,23.2
Monroe,KY,21171,21171,23.79
Montgomery,KY,21173,21173,18.25
Morgan,KY,21175,21175,22.75
Muhlenberg,KY,21177,21177,15.17
Nelson,KY,21179,21179,9.21
Nicholas,KY,21181,21181,28.05
Ohio,KY,21183,21183,18.88
Oldham,KY,21185,21185,5.88
Owen,KY,21187,21187,19.09
Owsley,KY,21189,21189,30.32
Pendleton,KY,21191,21191,17.8
Perry,KY,21193,21193,26.11
Pike,KY,21195,21195,24.94
Powell,KY,21197,21197,21.39
Pulaski,KY,21199,21199,22.71
Robertson,KY,21201,21201,27.12
Rockcastle,KY,21203,21203,19.99
Rowan,KY,21205,21205,27.92
Russell,KY,21207,21207,23.23
Scott,KY,21209,21209,11.55
Shelby,KY,21211,21211,11.22
Simpson,KY,21213,21213,15.64
Spencer,KY,21215,21215,9.74
Taylor,KY,21217,21217,17.89
Todd,KY,21219,21219,18.71
Trigg,KY,21221,21221,11.76
Trimble,KY,21223,21223,17.27
Union,KY,21225,21225,20.43
Warren,KY,21227,21227,16.79
Washington,KY,21229,21229,15.24
Wayne,KY,21231,21231,25.26
Webster,KY,21233,21233,22.95
Whitley,KY,21235,21235,23.55
Wolfe,KY,21237,21237,29.2
Woodford,KY,21239,21239,13.02
Acadia,LA,22001,22001,24.18
Allen,LA,22003,22003,14.54
Ascension,LA,22005,22005,10.61
Assumption,LA,22007,22007,19.18
Avoyelles,LA,22009,22009,24.36
Beauregard,LA,22011,22011,15.51
Bienville,LA,22013,22013,28.42
Bossier,LA,22015,22015,17.23
Caddo,LA,22017,22017,23.33
Calcasieu,LA,22019,22019,17.3
Caldwell,LA,22021,22021,25.14
Cameron,LA,22023,22023,9.88
Catahoula,LA,22025,22025,22.14
Claiborne,LA,22027,22027,33.58
Concordia,LA,22029,22029,25.05
De Soto,LA,22031,22031,21.95
East Baton Rouge,LA,22033,22033,18.03
East Carroll,LA,22035,22035,44.6
East Feliciana,LA,22037,22037,17.47
Evangeline,LA,22039,22039,28.66
Franklin,LA,22041,22041,28.97
Grant,LA,22043,22043,18.81
Iberia,LA,22045,22045,22.12
Iberville,LA,22047,22047,18.24
Jackson,LA,22049,22049,22.83
Jefferson,LA,22051,22051,15.48
Jefferson Davis,LA,22053,22053,19.09
Lafayette,LA,22055,22055,17.32
Lafourche,LA,22057,22057,15.58
La Salle,LA,22059,22059,20.01
Lincoln,LA,22061,22061,30.35
Livingston,LA,22063,22063,12.42
Madison,LA,22065,22065,36.45
Morehouse,LA,22067,22067,28.29
Natchitoches,LA,22069,22069,32.3
Orleans,LA,22071,22071,23.65
Ouachita,LA,22073,22073,24.71
Plaquemines,LA,22075,22075,18.2
Pointe Coupee,LA,22077,22077,20.93
Rapides,LA,22079,22079,19.57
Red River,LA,22081,22081,25.33
Richland,LA,22083,22083,30.46
Sabine,LA,22085,22085,18.59
St. Bernard,LA,22087,22087,21.11
St. Charles,LA,22089,22089,11.25
St. Helena,LA,22091,22091,18.38
St. James,LA,22093,22093,17.05
St. John the Baptist,LA,22095,22095,17.43
St. Landry,LA,22097,22097,26.2
St. Martin,LA,22099,22099,18.85
St. Mary,LA,22101,22101,19.73
St. Tammany,LA,22103,22103,11.47
Tangipahoa,LA,22105,22105,21.45
Tensas,LA,22107,22107,34.74
Terrebonne,LA,22109,22109,20.6
Union,LA,22111,22111,17.29
Vermilion,LA,22113,22113,17.6
Vernon,LA,22115,22115,17.25
Washington,LA,22117,22117,24.39
Webster,LA,22119,22119,29.83
West Baton Rouge,LA,22121,22121,12.46
West Carroll,LA,22123,22123,21.92
West Feliciana,LA,22125,22125,11.96
Winn,LA,22127,22127,18.68
Androscoggin,ME,23001,23001,11.78
Aroostook,ME,23003,23003,16.09
Cumberland,ME,23005,23005,9.04
Franklin,ME,23007,23007,11.52
Hancock,ME,23009,23009,10.82
Kennebec,ME,23011,23011,12.81
Knox,ME,23013,23013,9.86
Lincoln,ME,23015,23015,12.31
Oxford,ME,23017,23017,15.15
Penobscot,ME,23019,23019,14.81
Piscataquis,ME,23021,23021,18.53
Sagadahoc,ME,23023,23023,9.64
Somerset,ME,23025,23025,20.36
Waldo,ME,23027,23027,13.48
Washington,ME,23029,23029,18.92
York,ME,23031,23031,7.43
Allegany,MD,24001,24001,16.55
Anne Arundel,MD,24003,24003,5.79
Baltimore,MD,24005,24005,9.05
Calvert,MD,24009,24009,4.61
Caroline,MD,24011,24011,13.88
Carroll,MD,24013,24013,5.21
Cecil,MD,24015,24015,9.79
Charles,MD,24017,24017,6.33
Dorchester,MD,24019,24019,15.81
Frederick,MD,24021,24021,6.84
Garrett,MD,24023,24023,10.4
Harford,MD,24025,24025,7.18
Howard,MD,24027,24027,5
Kent,MD,24029,24029,11.52
Montgomery,MD,24031,24031,6.83
Prince George's,MD,24033,24033,8.48
Queen Anne's,MD,24035,24035,5.75
St. Mary's,MD,24037,24037,8.08
Somerset,MD,24039,24039,21.67
Talbot,MD,24041,24041,8.66
Washington,MD,24043,24043,12.25
Wicomico,MD,24045,24045,15.39
Worcester,MD,24047,24047,9.05
Baltimore City,MD,24510,24510,21.21
Barnstable,MA,25001,25001,6.43
Berkshire,MA,25003,25003,10.89
Bristol,MA,25005,25005,11.33
Dukes,MA,25007,25007,7.57
Essex,MA,25009,25009,10.36
Franklin,MA,25011,25011,9.7
Hampden,MA,25013,25013,16.39
Hampshire,MA,25015,25015,12.16
Middlesex,MA,25017,25017,7.44
Nantucket,MA,25019,25019,8.71
Norfolk,MA,25021,25021,6.32
Plymouth,MA,25023,25023,7.38
Suffolk,MA,25025,25025,18.19
Worcester,MA,25027,25027,10.12
Alcona,MI,26001,26001,17.02
Alger,MI,26003,26003,11.16
Allegan,MI,26005,26005,10.36
Alpena,MI,26007,26007,14.29
Antrim,MI,26009,26009,11.02
Arenac,MI,26011,26011,17.14
Baraga,MI,26013,26013,14.82
Barry,MI,26015,26015,7.74
Bay,MI,26017,26017,15.81
Benzie,MI,26019,26019,9.48
Berrien,MI,26021,26021,16.14
Branch,MI,26023,26023,15.81
Calhoun,MI,26025,26025,16.43
Cass,MI,26027,26027,12.08
Charlevoix,MI,26029,26029,10.11
Cheboygan,MI,26031,26031,14.88
Chippewa,MI,26033,26033,18.4
Clare,MI,26035,26035,22.72
Clinton,MI,26037,26037,8.82
Crawford,MI,26039,26039,16.28
Delta,MI,26041,26041,12.93
Dickinson,MI,26043,26043,11.75
Eaton,MI,26045,26045,10.15
Emmet,MI,26047,26047,9.14
Genesee,MI,26049,26049,18.94
Gladwin,MI,26051,26051,16.9
Gogebic,MI,26053,26053,17.01
Grand Traverse,MI,26055,26055,9.64
Gratiot,MI,26057,26057,16.74
Hillsdale,MI,26059,26059,16.22
Houghton,MI,26061,26061,20.15
Huron,MI,26063,26063,13.04
Ingham,MI,26065,26065,19.62
Ionia,MI,26067,26067,11.8
Iosco,MI,26069,26069,15.21
Iron,MI,26071,26071,13.09
Isabella,MI,26073,26073,26.01
Jackson,MI,26075,26075,13.78
Kalamazoo,MI,26077,26077,14.95
Kalkaska,MI,26079,26079,16.67
Kent,MI,26081,26081,11.72
Keweenaw,MI,26083,26083,10.61
Lake,MI,26085,26085,20.99
Lapeer,MI,26087,26087,10.08
Leelanau,MI,26089,26089,6.11
Lenawee,MI,26091,26091,11.37
Livingston,MI,26093,26093,5.21
Luce,MI,26095,26095,16.99
Mackinac,MI,26097,26097,16.36
Macomb,MI,26099,26099,10.56
Manistee,MI,26101,26101,11.47
Marquette,MI,26103,26103,15.65
Mason,MI,26105,26105,15.05
Mecosta,MI,26107,26107,21.23
Menominee,MI,26109,26109,12.75
Midland,MI,26111,26111,10.43
Missaukee,MI,26113,26113,14.23
Monroe,MI,26115,26115,11.12
Montcalm,MI,26117,26117,14.35
Montmorency,MI,26119,26119,16.55
Muskegon,MI,26121,26121,15.46
Newaygo,MI,26123,26123,16.62
Oakland,MI,26125,26125,8.18
Oceana,MI,26127,26127,14.98
Ogemaw,MI,26129,26129,17.1
Ontonagon,MI,26131,26131,13.66
Osceola,MI,26133,26133,17.93
Oscoda,MI,26135,26135,16.18
Otsego,MI,26137,26137,13.73
Ottawa,MI,26139,26139,8.52
Presque Isle,MI,26141,26141,13.09
Roscommon,MI,26143,26143,16.72
Saginaw,MI,26145,26145,17.99
St. Clair,MI,26147,26147,12.68
St. Joseph,MI,26149,26149,14.85
Sanilac,MI,26151,26151,15.12
Schoolcraft,MI,26153,26153,16.66
Shiawassee,MI,26155,26155,10.26
Tuscola,MI,26157,26157,14.22
Van Buren,MI,26159,26159,14.85
Washtenaw,MI,26161,26161,13.98
Wayne,MI,26163,26163,22.31
Wexford,MI,26165,26165,14.2
Aitkin,MN,27001,27001,12.16
Anoka,MN,27003,27003,5.89
Becker,MN,27005,27005,11
Beltrami,MN,27007,27007,18.89
Benton,MN,27009,27009,10.32
Big Stone,MN,27011,27011,10.12
Blue Earth,MN,27013,27013,17.61
Brown,MN,27015,27015,6.94
Carlton,MN,27017,27017,11.29
Carver,MN,27019,27019,4.09
Cass,MN,27021,27021,13.56
Chippewa,MN,27023,27023,9.34
Chisago,MN,27025,27025,5.97
Clay,MN,27027,27027,12.26
Clearwater,MN,27029,27029,14.62
Cook,MN,27031,27031,12.59
Cottonwood,MN,27033,27033,10.97
Crow Wing,MN,27035,27035,10.77
Dakota,MN,27037,27037,6.05
Dodge,MN,27039,27039,5.14
Douglas,MN,27041,27041,7.6
Faribault,MN,27043,27043,11.49
Fillmore,MN,27045,27045,10.74
Freeborn,MN,27047,27047,11.01
Goodhue,MN,27049,27049,9.33
Grant,MN,27051,27051,9.65
Hennepin,MN,27053,27053,10.45
Houston,MN,27055,27055,7.9
Hubbard,MN,27057,27057,11.82
Isanti,MN,27059,27059,7.32
Itasca,MN,27061,27061,12.19
Jackson,MN,27063,27063,7.86
Kanabec,MN,27065,27065,9.98
Kandiyohi,MN,27067,27067,10.51
Kittson,MN,27069,27069,11.23
Koochiching,MN,27071,27071,13.61
Lac qui Parle,MN,27073,27073,8.32
Lake,MN,27075,27075,8.71
Lake of the Woods,MN,27077,27077,10.75
Le Sueur,MN,27079,27079,8.54
Lincoln,MN,27081,27081,10.88
Lyon,MN,27083,27083,14.14
McLeod,MN,27085,27085,8.51
Mahnomen,MN,27087,27087,23.26
Marshall,MN,27089,27089,6.88
Martin,MN,27091,27091,13.73
Meeker,MN,27093,27093,6.72
Mille Lacs,MN,27095,27095,12.37
Morrison,MN,27097,27097,10.18
Mower,MN,27099,27099,13.51
Murray,MN,27101,27101,7.13
Nicollet,MN,27103,27103,9.87
Nobles,MN,27105,27105,13.55
Norman,MN,27107,27107,8.85
Olmsted,MN,27109,27109,8.43
Otter Tail,MN,27111,27111,9.32
Pennington,MN,27113,27113,10.99
Pine,MN,27115,27115,11.04
Pipestone,MN,27117,27117,11.69
Polk,MN,27119,27119,11.76
Pope,MN,27121,27121,7.18
Ramsey,MN,27123,27123,13.97
Red Lake,MN,27125,27125,10.45
Redwood,MN,27127,27127,10.12
Renville,MN,27129,27129,9.98
Rice,MN,27131,27131,9.16
Rock,MN,27133,27133,9.01
Roseau,MN,27135,27135,8.09
St. Louis,MN,27137,27137,14.07
Scott,MN,27139,27139,5.51
Sherburne,MN,27141,27141,6.42
Sibley,MN,27143,27143,7.94
Stearns,MN,27145,27145,12.9
Steele,MN,27147,27147,8.94
Stevens,MN,27149,27149,12.41
Swift,MN,27151,27151,12.52
Todd,MN,27153,27153,11.87
Traverse,MN,27155,27155,9.89
Wabasha,MN,27157,27157,7.74
Wadena,MN,27159,27159,14.33
Waseca,MN,27161,27161,9.71
Washington,MN,27163,27163,4.29
Watonwan,MN,27165,27165,13.39
Wilkin,MN,27167,27167,9.18
Winona,MN,27169,27169,12.9
Wright,MN,27171,27171,4.61
Yellow Medicine,MN,27173,27173,11.78
Adams,MS,28001,28001,31.55
Alcorn,MS,28003,28003,15
Amite,MS,28005,28005,26.68
Attala,MS,28007,28007,26.68
Benton,MS,28009,28009,20.26
Bolivar,MS,28011,28011,34.95
Calhoun,MS,28013,28013,21.57
Carroll,MS,28015,28015,17.02
Chickasaw,MS,28017,28017,20.57
Choctaw,MS,28019,28019,19.86
Claiborne,MS,28021,28021,41.05
Clarke,MS,28023,28023,19.12
Clay,MS,28025,28025,25.54
Coahoma,MS,28027,28027,34.76
Copiah,MS,28029,28029,24
Covington,MS,28031,28031,24.17
DeSoto,MS,28033,28033,9.17
Forrest,MS,28035,28035,25.95
Franklin,MS,28037,28037,15.09
George,MS,28039,28039,17.24
Greene,MS,28041,28041,18.42
Grenada,MS,28043,28043,21.07
Hancock,MS,28045,28045,18.47
Harrison,MS,28047,28047,20.09
Hinds,MS,28049,28049,21.28
Holmes,MS,28051,28051,42.35
Humphreys,MS,28053,28053,36.39
Issaquena,MS,28055,28055,36.03
Itawamba,MS,28057,28057,13.51
Jackson,MS,28059,28059,16.18
Jasper,MS,28061,28061,22.29
Jefferson,MS,28063,28063,37.64
Jefferson Davis,MS,28065,28065,24.93
Jones,MS,28067,28067,21.68
Kemper,MS,28069,28069,28.53
Lafayette,MS,28071,28071,22.07
Lamar,MS,28073,28073,18.26
Lauderdale,MS,28075,28075,20.82
Lawrence,MS,28077,28077,18.65
Leake,MS,28079,28079,26.41
Lee,MS,28081,28081,14.61
Leflore,MS,28083,28083,36.75
Lincoln,MS,28085,28085,21
Lowndes,MS,28087,28087,20.44
Madison,MS,28089,28089,9.61
Marion,MS,28091,28091,25.52
Marshall,MS,28093,28093,18.84
Monroe,MS,28095,28095,17.45
Montgomery,MS,28097,28097,27.11
Neshoba,MS,28099,28099,25.65
Newton,MS,28101,28101,25.63
Noxubee,MS,28103,28103,32.46
Oktibbeha,MS,28105,28105,30.15
Panola,MS,28107,28107,20.29
Pearl River,MS,28109,28109,17.1
Perry,MS,28111,28111,19.02
Pike,MS,28113,28113,33
Pontotoc,MS,28115,28115,16.16
Prentiss,MS,28117,28117,21.89
Quitman,MS,28119,28119,35.61
Rankin,MS,28121,28121,8.31
Scott,MS,28123,28123,25.53
Sharkey,MS,28125,28125,27.38
Simpson,MS,28127,28127,19.36
Smith,MS,28129,28129,18.89
Stone,MS,28131,28131,19.79
Sunflower,MS,28133,28133,31.72
Tallahatchie,MS,28135,28135,31.69
Tate,MS,28137,28137,18.07
Tippah,MS,28139,28139,19.97
Tishomingo,MS,28141,28141,19.74
Tunica,MS,28143,28143,23.99
Union,MS,28145,28145,15.11
Walthall,MS,28147,28147,23.99
Warren,MS,28149,28149,20.63
Washington,MS,28151,28151,33.88
Wayne,MS,28153,28153,20.48
Webster,MS,28155,28155,22.21
Wilkinson,MS,28157,28157,34.67
Winston,MS,28159,28159,23.09
Yalobusha,MS,28161,28161,18.37
Yazoo,MS,28163,28163,31.83
Adair,MO,29001,29001,23.82
Andrew,MO,29003,29003,7.89
Atchison,MO,29005,29005,12.07
Audrain,MO,29007,29007,15.06
Barry,MO,29009,29009,21.06
Barton,MO,29011,29011,20.3
Bates,MO,29013,29013,11.98
Benton,MO,29015,29015,17.75
Bollinger,MO,29017,29017,15.16
Boone,MO,29019,29019,17.91
Buchanan,MO,29021,29021,17.22
Butler,MO,29023,29023,23.73
Caldwell,MO,29025,29025,15.86
Callaway,MO,29027,29027,10.64
Camden,MO,29029,29029,14.76
Cape Girardeau,MO,29031,29031,16.38
Carroll,MO,29033,29033,14.5
Carter,MO,29035,29035,13.35
Cass,MO,29037,29037,8.97
Cedar,MO,29039,29039,15.76
Chariton,MO,29041,29041,13.99
Christian,MO,29043,29043,9.96
Clark,MO,29045,29045,14.95
Clay,MO,29047,29047,8.17
Clinton,MO,29049,29049,8.87
Cole,MO,29051,29051,10.35
Cooper,MO,29053,29053,12.08
Crawford,MO,29055,29055,18.48
Dade,MO,29057,29057,21.51
Dallas,MO,29059,29059,13.35
Daviess,MO,29061,29061,14.55
DeKalb,MO,29063,29063,12.19
Dent,MO,29065,29065,22.41
Douglas,MO,29067,29067,20.39
Dunklin,MO,29069,29069,25.7
Franklin,MO,29071,29071,10.46
Gasconade,MO,29073,29073,8.99
Gentry,MO,29075,29075,14.81
Greene,MO,29077,29077,16.4
Grundy,MO,29079,29079,17.3
Harrison,MO,29081,29081,16.55
Henry,MO,29083,29083,21.12
Hickory,MO,29085,29085,17.26
Holt,MO,29087,29087,10.07
Howard,MO,29089,29089,14.15
Howell,MO,29091,29091,22.27
Iron,MO,29093,29093,22.3
