County,State,FIPS Code,Formatted FIPS,"Estimated number of people 65 or older, between 2015-2019."
Cerro Gordo,IA,19033,19033,9043
Cherokee,IA,19035,19035,2666
Chickasaw,IA,19037,19037,2420
Clarke,IA,19039,19039,1671
Clay,IA,19041,19041,3329
Clayton,IA,19043,19043,4045
Clinton,IA,19045,19045,9057
Crawford,IA,19047,19047,2900
Dallas,IA,19049,19049,10357
Davis,IA,19051,19051,1555
Decatur,IA,19053,19053,1567
Delaware,IA,19055,19055,3276
Des Moines,IA,19057,19057,7981
Dickinson,IA,19059,19059,4374
Dubuque,IA,19061,19061,16778
Emmet,IA,19063,19063,1937
Fayette,IA,19065,19065,4159
Floyd,IA,19067,19067,3428
Franklin,IA,19069,19069,2109
Fremont,IA,19071,19071,1547
Greene,IA,19073,19073,1996
Grundy,IA,19075,19075,2519
Guthrie,IA,19077,19077,2358
Hamilton,IA,19079,19079,3024
Hancock,IA,19081,19081,2358
Hardin,IA,19083,19083,3634
Harrison,IA,19085,19085,2736
Henry,IA,19087,19087,3676
Howard,IA,19089,19089,1866
Humboldt,IA,19091,19091,1987
Ida,IA,19093,19093,1511
Iowa,IA,19095,19095,2984
Jackson,IA,19097,19097,3957
Jasper,IA,19099,19099,6989
Jefferson,IA,19101,19101,3915
Johnson,IA,19103,19103,16810
Jones,IA,19105,19105,4144
Keokuk,IA,19107,19107,2194
Kossuth,IA,19109,19109,3456
Lee,IA,19111,19111,6805
Linn,IA,19113,19113,34771
Louisa,IA,19115,19115,2049
Lucas,IA,19117,19117,1836
Lyon,IA,19119,19119,2103
Madison,IA,19121,19121,2735
Mahaska,IA,19123,19123,4005
Marion,IA,19125,19125,5805
Marshall,IA,19127,19127,7069
Mills,IA,19129,19129,2711
Mitchell,IA,19131,19131,2306
Monona,IA,19133,19133,2125
Monroe,IA,19135,19135,1533
Montgomery,IA,19137,19137,2100
Muscatine,IA,19139,19139,6908
O'Brien,IA,19141,19141,2836
Osceola,IA,19143,19143,1269
Page,IA,19145,19145,3305
Palo Alto,IA,19147,19147,1938
Plymouth,IA,19149,19149,4531
Pocahontas,IA,19151,19151,1544
Polk,IA,19153,19153,61222
Pottawattamie,IA,19155,19155,15838
Poweshiek,IA,19157,19157,3715
Ringgold,IA,19159,19159,1192
Sac,IA,19161,19161,2270
Scott,IA,19163,19163,27192
Shelby,IA,19165,19165,2632
Sioux,IA,19167,19167,5301
Story,IA,19169,19169,11437
Tama,IA,19171,19171,3324
Taylor,IA,19173,19173,1355
Union,IA,19175,19175,2475
Van Buren,IA,19177,19177,1582
Wapello,IA,19179,19179,6100
Warren,IA,19181,19181,7781
Washington,IA,19183,19183,4141
Wayne,IA,19185,19185,1395
Webster,IA,19187,19187,6587
Winnebago,IA,19189,19189,2197
Winneshiek,IA,19191,19191,4057
Woodbury,IA,19193,19193,15071
Worth,IA,19195,19195,1503
Wright,IA,19197,19197,2806
Allen,KS,20001,20001,2541
Anderson,KS,20003,20003,1657
Atchison,KS,20005,20005,2752
Barber,KS,20007,20007,998
Barton,KS,20009,20009,4986
Bourbon,KS,20011,20011,2840
Brown,KS,20013,20013,1877
Butler,KS,20015,20015,9898
Chase,KS,20017,20017,637
Chautauqua,KS,20019,20019,866
Cherokee,KS,20021,20021,3839
Cheyenne,KS,20023,20023,705
Clark,KS,20025,20025,478
Clay,KS,20027,20027,1868
Cloud,KS,20029,20029,1876
Coffey,KS,20031,20031,1717
Comanche,KS,20033,20033,454
Cowley,KS,20035,20035,6399
Crawford,KS,20037,20037,5920
Decatur,KS,20039,20039,785
Dickinson,KS,20041,20041,3663
Doniphan,KS,20043,20043,1449
Douglas,KS,20045,20045,14205
Edwards,KS,20047,20047,606
Elk,KS,20049,20049,730
Ellis,KS,20051,20051,4315
Ellsworth,KS,20053,20053,1284
Finney,KS,20055,20055,3905
Ford,KS,20057,20057,3618
Franklin,KS,20059,20059,4205
Geary,KS,20061,20061,2767
Gove,KS,20063,20063,702
Graham,KS,20065,20065,668
Grant,KS,20067,20067,962
Gray,KS,20069,20069,895
Greeley,KS,20071,20071,243
Greenwood,KS,20073,20073,1503
Hamilton,KS,20075,20075,351
Harper,KS,20077,20077,1245
Harvey,KS,20079,20079,6615
Haskell,KS,20081,20081,570
Hodgeman,KS,20083,20083,413
Jackson,KS,20085,20085,2498
Jefferson,KS,20087,20087,3487
Jewell,KS,20089,20089,855
Johnson,KS,20091,20091,83169
Kearny,KS,20093,20093,572
Kingman,KS,20095,20095,1600
Kiowa,KS,20097,20097,534
Labette,KS,20099,20099,3717
Lane,KS,20101,20101,288
Leavenworth,KS,20103,20103,11394
Lincoln,KS,20105,20105,721
Linn,KS,20107,20107,2137
Logan,KS,20109,20109,566
Lyon,KS,20111,20111,4910
McPherson,KS,20113,20113,5573
Marion,KS,20115,20115,2764
Marshall,KS,20117,20117,2081
Meade,KS,20119,20119,724
Miami,KS,20121,20121,5694
Mitchell,KS,20123,20123,1452
Montgomery,KS,20125,20125,6258
Morris,KS,20127,20127,1355
Morton,KS,20129,20129,578
Nemaha,KS,20131,20131,1992
Neosho,KS,20133,20133,3095
Ness,KS,20135,20135,727
Norton,KS,20137,20137,1117
Osage,KS,20139,20139,3105
Osborne,KS,20141,20141,862
Ottawa,KS,20143,20143,1157
Pawnee,KS,20145,20145,1344
Phillips,KS,20147,20147,1219
Pottawatomie,KS,20149,20149,3363
Pratt,KS,20151,20151,1785
Rawlins,KS,20153,20153,672
Reno,KS,20155,20155,12120
Republic,KS,20157,20157,1277
Rice,KS,20159,20159,1800
Riley,KS,20161,20161,6690
Rooks,KS,20163,20163,1118
Rush,KS,20165,20165,751
Russell,KS,20167,20167,1637
Saline,KS,20169,20169,9412
Scott,KS,20171,20171,891
Sedgwick,KS,20173,20173,72054
Seward,KS,20175,20175,2099
Shawnee,KS,20177,20177,31300
Sheridan,KS,20179,20179,589
Sherman,KS,20181,20181,1114
Smith,KS,20183,20183,991
Stafford,KS,20185,20185,881
Stanton,KS,20187,20187,351
Stevens,KS,20189,20189,816
Sumner,KS,20191,20191,4230
Thomas,KS,20193,20193,1276
Trego,KS,20195,20195,718
Wabaunsee,KS,20197,20197,1345
Wallace,KS,20199,20199,349
Washington,KS,20201,20201,1309
Wichita,KS,20203,20203,400
Wilson,KS,20205,20205,1826
Woodson,KS,20207,20207,771
Wyandotte,KS,20209,20209,19840
Adair,KY,21001,21001,3571
Allen,KY,21003,21003,3628
Anderson,KY,21005,21005,3459
Ballard,KY,21007,21007,1666
Barren,KY,21009,21009,7525
Bath,KY,21011,21011,1997
Bell,KY,21013,21013,4979
Boone,KY,21015,21015,16864
Bourbon,KY,21017,21017,3800
Boyd,KY,21019,21019,9014
Boyle,KY,21021,21021,5561
Bracken,KY,21023,21023,1341
Breathitt,KY,21025,21025,2137
Breckinridge,KY,21027,21027,3888
Bullitt,KY,21029,21029,12282
Butler,KY,21031,21031,2306
Caldwell,KY,21033,21033,2653
Calloway,KY,21035,21035,6536
Campbell,KY,21037,21037,14117
Carlisle,KY,21039,21039,987
Carroll,KY,21041,21041,1610
Carter,KY,21043,21043,4966
Casey,KY,21045,21045,3162
Christian,KY,21047,21047,8611
Clark,KY,21049,21049,6308
Clay,KY,21051,21051,3005
Clinton,KY,21053,21053,1945
Crittenden,KY,21055,21055,1821
Cumberland,KY,21057,21057,1440
Daviess,KY,21059,21059,16779
Edmonson,KY,21061,21061,2447
Elliott,KY,21063,21063,1425
Estill,KY,21065,21065,2646
Fayette,KY,21067,21067,41539
Fleming,KY,21069,21069,2537
Floyd,KY,21071,21071,6378
Franklin,KY,21073,21073,8605
Fulton,KY,21075,21075,1230
Gallatin,KY,21077,21077,1193
Garrard,KY,21079,21079,3121
Grant,KY,21081,21081,3404
Graves,KY,21083,21083,6789
Grayson,KY,21085,21085,4523
Green,KY,21087,21087,2211
Greenup,KY,21089,21089,7213
Hancock,KY,21091,21091,1471
Hardin,KY,21093,21093,14852
Harlan,KY,21095,21095,4778
Harrison,KY,21097,21097,3266
Hart,KY,21099,21099,3064
Henderson,KY,21101,21101,7889
Henry,KY,21103,21103,2705
Hickman,KY,21105,21105,1097
Hopkins,KY,21107,21107,8157
Jackson,KY,21109,21109,2274
Jefferson,KY,21111,21111,120799
Jessamine,KY,21113,21113,7787
Johnson,KY,21115,21115,4007
Kenton,KY,21117,21117,23111
Knott,KY,21119,21119,2693
Knox,KY,21121,21121,5367
Larue,KY,21123,21123,2431
Laurel,KY,21125,21125,9691
Lawrence,KY,21127,21127,2676
Lee,KY,21129,21129,1196
Leslie,KY,21131,21131,1792
Letcher,KY,21133,21133,4128
Lewis,KY,21135,21135,2398
Lincoln,KY,21137,21137,4366
Livingston,KY,21139,21139,1942
Logan,KY,21141,21141,4895
Lyon,KY,21143,21143,2209
McCracken,KY,21145,21145,12651
McCreary,KY,21147,21147,2672
McLean,KY,21149,21149,1785
Madison,KY,21151,21151,12131
Magoffin,KY,21153,21153,2093
Marion,KY,21155,21155,3174
Marshall,KY,21157,21157,6762
Martin,KY,21159,21159,1827
Mason,KY,21161,21161,2989
Meade,KY,21163,21163,3937
Menifee,KY,21165,21165,1302
Mercer,KY,21167,21167,3985
Metcalfe,KY,21169,21169,1884
Monroe,KY,21171,21171,1956
Montgomery,KY,21173,21173,4396
Morgan,KY,21175,21175,2186
Muhlenberg,KY,21177,21177,5763
Nelson,KY,21179,21179,6975
Nicholas,KY,21181,21181,1206
Ohio,KY,21183,21183,4246
Oldham,KY,21185,21185,8384
Owen,KY,21187,21187,1931
Owsley,KY,21189,21189,844
Pendleton,KY,21191,21191,2262
Perry,KY,21193,21193,4349
Pike,KY,21195,21195,10761
Powell,KY,21197,21197,1906
Pulaski,KY,21199,21199,12005
Robertson,KY,21201,21201,456
Rockcastle,KY,21203,21203,2994
Rowan,KY,21205,21205,3339
Russell,KY,21207,21207,3511
Scott,KY,21209,21209,6480
Shelby,KY,21211,21211,7242
Simpson,KY,21213,21213,2986
Spencer,KY,21215,21215,2517
Taylor,KY,21217,21217,4452
Todd,KY,21219,21219,1921
Trigg,KY,21221,21221,3208
Trimble,KY,21223,21223,1465
Union,KY,21225,21225,2370
Warren,KY,21227,21227,16283
Washington,KY,21229,21229,2151
Wayne,KY,21231,21231,4124
Webster,KY,21233,21233,2269
Whitley,KY,21235,21235,5702
Wolfe,KY,21237,21237,1376
Woodford,KY,21239,21239,4670
Acadia,LA,22001,22001,9280
Allen,LA,22003,22003,3775
Ascension,LA,22005,22005,14010
Assumption,LA,22007,22007,3902
Avoyelles,LA,22009,22009,6797
Beauregard,LA,22011,22011,5700
Bienville,LA,22013,22013,2754
Bossier,LA,22015,22015,17476
Caddo,LA,22017,22017,40601
Calcasieu,LA,22019,22019,29382
Caldwell,LA,22021,22021,1812
Cameron,LA,22023,22023,1108
Catahoula,LA,22025,22025,1639
Claiborne,LA,22027,22027,3014
Concordia,LA,22029,22029,3340
De Soto,LA,22031,22031,4699
East Baton Rouge,LA,22033,22033,60902
East Carroll,LA,22035,22035,996
East Feliciana,LA,22037,22037,3303
Evangeline,LA,22039,22039,5069
Franklin,LA,22041,22041,3573
Grant,LA,22043,22043,3282
Iberia,LA,22045,22045,10400
Iberville,LA,22047,22047,4973
Jackson,LA,22049,22049,3188
Jefferson,LA,22051,22051,72333
Jefferson Davis,LA,22053,22053,5065
Lafayette,LA,22055,22055,30732
Lafourche,LA,22057,22057,14757
La Salle,LA,22059,22059,2494
Lincoln,LA,22061,22061,6329
Livingston,LA,22063,22063,17941
Madison,LA,22065,22065,1567
Morehouse,LA,22067,22067,4666
Natchitoches,LA,22069,22069,6224
Orleans,LA,22071,22071,55281
Ouachita,LA,22073,22073,22486
Plaquemines,LA,22075,22075,3042
Pointe Coupee,LA,22077,22077,4444
Rapides,LA,22079,22079,20804
Red River,LA,22081,22081,1605
Richland,LA,22083,22083,3494
Sabine,LA,22085,22085,4825
St. Bernard,LA,22087,22087,5113
St. Charles,LA,22089,22089,6880
St. Helena,LA,22091,22091,1941
St. James,LA,22093,22093,3558
St. John the Baptist,LA,22095,22095,5936
St. Landry,LA,22097,22097,13107
St. Martin,LA,22099,22099,7911
St. Mary,LA,22101,22101,8193
St. Tammany,LA,22103,22103,41823
Tangipahoa,LA,22105,22105,18491
Tensas,LA,22107,22107,1084
Terrebonne,LA,22109,22109,15527
Union,LA,22111,22111,4524
Vermilion,LA,22113,22113,9008
Vernon,LA,22115,22115,5823
Washington,LA,22117,22117,8135
Webster,LA,22119,22119,7567
West Baton Rouge,LA,22121,22121,3479
West Carroll,LA,22123,22123,2068
West Feliciana,LA,22125,22125,2170
Winn,LA,22127,22127,2616
Androscoggin,ME,23001,23001,18603
Aroostook,ME,23003,23003,15881
Cumberland,ME,23005,23005,52133
Franklin,ME,23007,23007,6437
Hancock,ME,23009,23009,13129
Kennebec,ME,23011,23011,23645
Knox,ME,23013,23013,9647
Lincoln,ME,23015,23015,9263
Oxford,ME,23017,23017,12229
Penobscot,ME,23019,23019,27349
Piscataquis,ME,23021,23021,4359
Sagadahoc,ME,23023,23023,7728
Somerset,ME,23025,23025,10445
Waldo,ME,23027,23027,8613
Washington,ME,23029,23029,7482
York,ME,23031,23031,40625
Allegany,MD,24001,24001,14169
Anne Arundel,MD,24003,24003,82281
Baltimore,MD,24005,24005,139256
Calvert,MD,24009,24009,13252
Caroline,MD,24011,24011,5299
Carroll,MD,24013,24013,27434
Cecil,MD,24015,24015,15639
Charles,MD,24017,24017,19412
Dorchester,MD,24019,24019,6737
Frederick,MD,24021,24021,35468
Garrett,MD,24023,24023,6436
Harford,MD,24025,24025,39848
Howard,MD,24027,24027,42755
Kent,MD,24029,24029,5120
Montgomery,MD,24031,24031,156825
Prince George's,MD,24033,24033,116822
Queen Anne's,MD,24035,24035,9119
St. Mary's,MD,24037,24037,14091
Somerset,MD,24039,24039,4174
Talbot,MD,24041,24041,10595
Washington,MD,24043,24043,25239
Wicomico,MD,24045,24045,15847
Worcester,MD,24047,24047,14139
Baltimore City,MD,24510,24510,82721
Barnstable,MA,25001,25001,63581
Berkshire,MA,25003,25003,28620
Bristol,MA,25005,25005,93298
Dukes,MA,25007,25007,4033
Essex,MA,25009,25009,130887
Franklin,MA,25011,25011,14920
Hampden,MA,25013,25013,77013
Hampshire,MA,25015,25015,26753
Middlesex,MA,25017,25017,239915
Nantucket,MA,25019,25019,1631
Norfolk,MA,25021,25021,115968
Plymouth,MA,25023,25023,90730
Suffolk,MA,25025,25025,93712
Worcester,MA,25027,25027,126028
Alcona,MI,26001,26001,3711
Alger,MI,26003,26003,2257
Allegan,MI,26005,26005,18642
Alpena,MI,26007,26007,6488
Antrim,MI,26009,26009,6189
Arenac,MI,26011,26011,3662
Baraga,MI,26013,26013,1827
Barry,MI,26015,26015,10917
Bay,MI,26017,26017,20411
Benzie,MI,26019,26019,4545
Berrien,MI,26021,26021,29744
Branch,MI,26023,26023,7900
Calhoun,MI,26025,26025,23230
Cass,MI,26027,26027,10455
Charlevoix,MI,26029,26029,6204
Cheboygan,MI,26031,26031,6802
Chippewa,MI,26033,26033,6651
Clare,MI,26035,26035,7121
Clinton,MI,26037,26037,12897
Crawford,MI,26039,26039,3461
Delta,MI,26041,26041,8417
Dickinson,MI,26043,26043,5591
Eaton,MI,26045,26045,19600
Emmet,MI,26047,26047,7192
Genesee,MI,26049,26049,69337
Gladwin,MI,26051,26051,6655
Gogebic,MI,26053,26053,3852
Grand Traverse,MI,26055,26055,17690
Gratiot,MI,26057,26057,7037
Hillsdale,MI,26059,26059,8719
Houghton,MI,26061,26061,6123
Huron,MI,26063,26063,7749
Ingham,MI,26065,26065,38111
Ionia,MI,26067,26067,9323
Iosco,MI,26069,26069,7323
Iron,MI,26071,26071,3344
Isabella,MI,26073,26073,8606
Jackson,MI,26075,26075,27279
Kalamazoo,MI,26077,26077,38355
Kalkaska,MI,26079,26079,3476
Kent,MI,26081,26081,85904
Keweenaw,MI,26083,26083,741
Lake,MI,26085,26085,3288
Lapeer,MI,26087,26087,15489
Leelanau,MI,26089,26089,6502
Lenawee,MI,26091,26091,18050
Livingston,MI,26093,26093,31372
Luce,MI,26095,26095,1354
Mackinac,MI,26097,26097,2948
Macomb,MI,26099,26099,144390
Manistee,MI,26101,26101,6110
Marquette,MI,26103,26103,12289
Mason,MI,26105,26105,6681
Mecosta,MI,26107,26107,7822
Menominee,MI,26109,26109,5456
Midland,MI,26111,26111,14991
Missaukee,MI,26113,26113,3057
Monroe,MI,26115,26115,26204
Montcalm,MI,26117,26117,10823
Montmorency,MI,26119,26119,2907
Muskegon,MI,26121,26121,28541
Newaygo,MI,26123,26123,9112
Oakland,MI,26125,26125,205052
Oceana,MI,26127,26127,5382
Ogemaw,MI,26129,26129,5275
Ontonagon,MI,26131,26131,2083
Osceola,MI,26133,26133,4803
Oscoda,MI,26135,26135,2227
Otsego,MI,26137,26137,5076
Ottawa,MI,26139,26139,41893
Presque Isle,MI,26141,26141,3892
Roscommon,MI,26143,26143,7617
Saginaw,MI,26145,26145,35801
St. Clair,MI,26147,26147,29036
St. Joseph,MI,26149,26149,10567
Sanilac,MI,26151,26151,8678
Schoolcraft,MI,26153,26153,2132
Shiawassee,MI,26155,26155,12149
Tuscola,MI,26157,26157,10506
Van Buren,MI,26159,26159,13258
Washtenaw,MI,26161,26161,49308
Wayne,MI,26163,26163,264487
Wexford,MI,26165,26165,6197
Aitkin,MN,27001,27001,5144
Anoka,MN,27003,27003,47405
Becker,MN,27005,27005,6876
Beltrami,MN,27007,27007,7216
Benton,MN,27009,27009,5527
Big Stone,MN,27011,27011,1281
Blue Earth,MN,27013,27013,8931
Brown,MN,27015,27015,5243
Carlton,MN,27017,27017,6057
Carver,MN,27019,27019,11628
Cass,MN,27021,27021,7406
Chippewa,MN,27023,27023,2496
Chisago,MN,27025,27025,8265
Clay,MN,27027,27027,8194
Clearwater,MN,27029,27029,1788
Cook,MN,27031,27031,1466
Cottonwood,MN,27033,27033,2568
Crow Wing,MN,27035,27035,14133
Dakota,MN,27037,27037,57425
Dodge,MN,27039,27039,2981
Douglas,MN,27041,27041,8420
Faribault,MN,27043,27043,3134
Fillmore,MN,27045,27045,4299
Freeborn,MN,27047,27047,6699
Goodhue,MN,27049,27049,8780
Grant,MN,27051,27051,1382
Hennepin,MN,27053,27053,170418
Houston,MN,27055,27055,3871
Hubbard,MN,27057,27057,5223
Isanti,MN,27059,27059,6122
Itasca,MN,27061,27061,10216
Jackson,MN,27063,27063,2152
Kanabec,MN,27065,27065,3251
Kandiyohi,MN,27067,27067,7854
Kittson,MN,27069,27069,1032
Koochiching,MN,27071,27071,3054
Lac qui Parle,MN,27073,27073,1791
Lake,MN,27075,27075,2718
Lake of the Woods,MN,27077,27077,886
Le Sueur,MN,27079,27079,4829
Lincoln,MN,27081,27081,1398
Lyon,MN,27083,27083,3986
McLeod,MN,27085,27085,6545
Mahnomen,MN,27087,27087,964
Marshall,MN,27089,27089,1972
Martin,MN,27091,27091,4555
Meeker,MN,27093,27093,4486
Mille Lacs,MN,27095,27095,4671
Morrison,MN,27097,27097,6267
Mower,MN,27099,27099,7306
Murray,MN,27101,27101,2103
Nicollet,MN,27103,27103,5317
Nobles,MN,27105,27105,3488
Norman,MN,27107,27107,1396
Olmsted,MN,27109,27109,23348
Otter Tail,MN,27111,27111,13579
Pennington,MN,27113,27113,2545
Pine,MN,27115,27115,5874
Pipestone,MN,27117,27117,1903
Polk,MN,27119,27119,5674
Pope,MN,27121,27121,2619
Ramsey,MN,27123,27123,76738
Red Lake,MN,27125,27125,802
Redwood,MN,27127,27127,3218
Renville,MN,27129,27129,3002
Rice,MN,27131,27131,10026
Rock,MN,27133,27133,1866
Roseau,MN,27135,27135,2562
St. Louis,MN,27137,27137,37627
Scott,MN,27139,27139,15137
Sherburne,MN,27141,27141,10261
Sibley,MN,27143,27143,2692
Stearns,MN,27145,27145,23088
Steele,MN,27147,27147,6252
Stevens,MN,27149,27149,1649
Swift,MN,27151,27151,2044
Todd,MN,27153,27153,5121
Traverse,MN,27155,27155,822
Wabasha,MN,27157,27157,4562
Wadena,MN,27159,27159,2863
Waseca,MN,27161,27161,3259
Washington,MN,27163,27163,36910
Watonwan,MN,27165,27165,2189
Wilkin,MN,27167,27167,1181
Winona,MN,27169,27169,8331
Wright,MN,27171,27171,16361
Yellow Medicine,MN,27173,27173,1978
Adams,MS,28001,28001,5716
Alcorn,MS,28003,28003,6755
Amite,MS,28005,28005,2826
Attala,MS,28007,28007,3510
Benton,MS,28009,28009,1430
Bolivar,MS,28011,28011,4780
Calhoun,MS,28013,28013,2663
Carroll,MS,28015,28015,2301
Chickasaw,MS,28017,28017,2894
Choctaw,MS,28019,28019,1771
Claiborne,MS,28021,28021,1452
Clarke,MS,28023,28023,3147
Clay,MS,28025,28025,3507
Coahoma,MS,28027,28027,3400
Copiah,MS,28029,28029,4794
Covington,MS,28031,28031,3221
DeSoto,MS,28033,28033,22631
Forrest,MS,28035,28035,9996
Franklin,MS,28037,28037,1489
George,MS,28039,28039,3517
Greene,MS,28041,28041,1828
Grenada,MS,28043,28043,3674
Hancock,MS,28045,28045,9264
Harrison,MS,28047,28047,29585
Hinds,MS,28049,28049,32557
Holmes,MS,28051,28051,2576
Humphreys,MS,28053,28053,1370
Issaquena,MS,28055,28055,220
Itawamba,MS,28057,28057,4060
Jackson,MS,28059,28059,22188
Jasper,MS,28061,28061,3246
Jefferson,MS,28063,28063,1110
Jefferson Davis,MS,28065,28065,2477
Jones,MS,28067,28067,11223
Kemper,MS,28069,28069,1925
Lafayette,MS,28071,28071,6505
Lamar,MS,28073,28073,8142
Lauderdale,MS,28075,28075,12661
Lawrence,MS,28077,28077,2213
Leake,MS,28079,28079,3614
Lee,MS,28081,28081,12372
Leflore,MS,28083,28083,4035
Lincoln,MS,28085,28085,5736
Lowndes,MS,28087,28087,9156
Madison,MS,28089,28089,13407
Marion,MS,28091,28091,4500
Marshall,MS,28093,28093,6043
Monroe,MS,28095,28095,6771
Montgomery,MS,28097,28097,2088
Neshoba,MS,28099,28099,4601
Newton,MS,28101,28101,3443
Noxubee,MS,28103,28103,1706
Oktibbeha,MS,28105,28105,5462
Panola,MS,28107,28107,5249
Pearl River,MS,28109,28109,10164
Perry,MS,28111,28111,2068
Pike,MS,28113,28113,6571
Pontotoc,MS,28115,28115,4641
Prentiss,MS,28117,28117,4447
Quitman,MS,28119,28119,1194
Rankin,MS,28121,28121,22500
Scott,MS,28123,28123,4217
Sharkey,MS,28125,28125,801
Simpson,MS,28127,28127,4614
Smith,MS,28129,28129,3033
Stone,MS,28131,28131,2933
Sunflower,MS,28133,28133,3384
Tallahatchie,MS,28135,28135,2064
Tate,MS,28137,28137,4580
Tippah,MS,28139,28139,3449
Tishomingo,MS,28141,28141,3990
Tunica,MS,28143,28143,1174
Union,MS,28145,28145,4679
Walthall,MS,28147,28147,2766
Warren,MS,28149,28149,7470
Washington,MS,28151,28151,7097
Wayne,MS,28153,28153,3415
Webster,MS,28155,28155,1751
Wilkinson,MS,28157,28157,1497
Winston,MS,28159,28159,3638
Yalobusha,MS,28161,28161,2439
Yazoo,MS,28163,28163,3639
Adair,MO,29001,29001,3656
Andrew,MO,29003,29003,3279
Atchison,MO,29005,29005,1327
Audrain,MO,29007,29007,4442
Barry,MO,29009,29009,7183
Barton,MO,29011,29011,2372
Bates,MO,29013,29013,3139
Benton,MO,29015,29015,5793
Bollinger,MO,29017,29017,2396
Boone,MO,29019,29019,21080
Buchanan,MO,29021,29021,14014
Butler,MO,29023,29023,7902
Caldwell,MO,29025,29025,1749
Callaway,MO,29027,29027,7112
Camden,MO,29029,29029,12582
Cape Girardeau,MO,29031,29031,12713
Carroll,MO,29033,29033,1876
Carter,MO,29035,29035,1207
Cass,MO,29037,29037,17102
Cedar,MO,29039,29039,3276
Chariton,MO,29041,29041,1777
Christian,MO,29043,29043,13040
Clark,MO,29045,29045,1397
Clay,MO,29047,29047,33537
Clinton,MO,29049,29049,3583
Cole,MO,29051,29051,12306
Cooper,MO,29053,29053,3037
Crawford,MO,29055,29055,4633
Dade,MO,29057,29057,1759
Dallas,MO,29059,29059,3407
Daviess,MO,29061,29061,1696
DeKalb,MO,29063,29063,2083
Dent,MO,29065,29065,3339
Douglas,MO,29067,29067,3181
Dunklin,MO,29069,29069,5357
Franklin,MO,29071,29071,17415
Gasconade,MO,29073,29073,3285
Gentry,MO,29075,29075,1297
Greene,MO,29077,29077,46663
Grundy,MO,29079,29079,2172
Harrison,MO,29081,29081,1896
Henry,MO,29083,29083,4646
Hickory,MO,29085,29085,3152
Holt,MO,29087,29087,1105
Howard,MO,29089,29089,1857
Howell,MO,29091,29091,7851
Iron,MO,29093,29093,2230
Jackson,MO,29095,29095,101918
Jasper,MO,29097,29097,18208
Jefferson,MO,29099,29099,32490
Johnson,MO,29101,29101,6581
Knox,MO,29103,29103,847
Laclede,MO,29105,29105,6221
Lafayette,MO,29107,29107,6011
Lawrence,MO,29109,29109,6818
Lewis,MO,29111,29111,1830
Lincoln,MO,29113,29113,7499
Linn,MO,29115,29115,2487
Livingston,MO,29117,29117,3005
McDonald,MO,29119,29119,3480
Macon,MO,29121,29121,3343
Madison,MO,29123,29123,2286
Maries,MO,29125,29125,1875
Marion,MO,29127,29127,4973
Mercer,MO,29129,29129,770
Miller,MO,29131,29131,4743
Mississippi,MO,29133,29133,2388
Moniteau,MO,29135,29135,2501
Monroe,MO,29137,29137,1967
Montgomery,MO,29139,29139,2348
Morgan,MO,29141,29141,4736
New Madrid,MO,29143,29143,3255
Newton,MO,29145,29145,10322
Nodaway,MO,29147,29147,3316
Oregon,MO,29149,29149,2465
Osage,MO,29151,29151,2339
Ozark,MO,29153,29153,2521
Pemiscot,MO,29155,29155,2757
Perry,MO,29157,29157,3486
Pettis,MO,29159,29159,6943
Phelps,MO,29161,29161,7039
Pike,MO,29163,29163,3141
Platte,MO,29165,29165,14383
Polk,MO,29167,29167,5667
Pulaski,MO,29169,29169,4375
Putnam,MO,29171,29171,1145
Ralls,MO,29173,29173,2141
Randolph,MO,29175,29175,4085
Ray,MO,29177,29177,4108
Reynolds,MO,29179,29179,1425
Ripley,MO,29181,29181,2792
St. Charles,MO,29183,29183,58034
St. Clair,MO,29185,29185,2546
Ste. Genevieve,MO,29186,29186,3385
St. Francois,MO,29187,29187,10796
St. Louis,MO,29189,29189,176150
Saline,MO,29195,29195,4144
Schuyler,MO,29197,29197,877
Scotland,MO,29199,29199,898
Scott,MO,29201,29201,6885
Shannon,MO,29203,29203,1726
Shelby,MO,29205,29205,1236
Stoddard,MO,29207,29207,5776
Stone,MO,29209,29209,9591
Sullivan,MO,29211,29211,1252
Taney,MO,29213,29213,11729
Texas,MO,29215,29215,5249
Vernon,MO,29217,29217,3859
Warren,MO,29219,29219,6070
Washington,MO,29221,29221,4035
Wayne,MO,29223,29223,3049
Webster,MO,29225,29225,5994
Worth,MO,29227,29227,500
Wright,MO,29229,29229,3537
St. Louis City,MO,29510,29510,40476
Beaverhead,MT,30001,30001,2010
Big Horn,MT,30003,30003,1625
Blaine,MT,30005,30005,1013
Broadwater,MT,30007,30007,1392
Carbon,MT,30009,30009,2648
Carter,MT,30011,30011,301
Cascade,MT,30013,30013,14950
Chouteau,MT,30015,30015,1146
Custer,MT,30017,30017,2243
Daniels,MT,30019,30019,423
Dawson,MT,30021,30021,1674
Deer Lodge,MT,30023,30023,2075
Fallon,MT,30025,30025,521
Fergus,MT,30027,30027,2605
Flathead,MT,30029,30029,18683
Gallatin,MT,30031,30031,13215
Garfield,MT,30033,30033,239
Glacier,MT,30035,30035,1621
Golden Valley,MT,30037,30037,185
Granite,MT,30039,30039,965
Hill,MT,30041,30041,2391
Jefferson,MT,30043,30043,2448
