County,State,FIPS Code,Formatted FIPS,"Estimated median income of a household, between 2015-2019."
Butler,IA,19023,19023,57115
Calhoun,IA,19025,19025,52323
Carroll,IA,19027,19027,59212
Cass,IA,19029,19029,50187
Cedar,IA,19031,19031,67795
Cerro Gordo,IA,19033,19033,53963
Cherokee,IA,19035,19035,56550
Chickasaw,IA,19037,19037,60034
Clarke,IA,19039,19039,54427
Clay,IA,19041,19041,50521
Clayton,IA,19043,19043,53152
Clinton,IA,19045,19045,51688
Crawford,IA,19047,19047,55755
Dallas,IA,19049,19049,88479
Davis,IA,19051,19051,63404
Decatur,IA,19053,19053,44462
Delaware,IA,19055,19055,63750
Des Moines,IA,19057,19057,51267
Dickinson,IA,19059,19059,59969
Dubuque,IA,19061,19061,63031
Emmet,IA,19063,19063,51563
Fayette,IA,19065,19065,51128
Floyd,IA,19067,19067,50406
Franklin,IA,19069,19069,56419
Fremont,IA,19071,19071,56750
Greene,IA,19073,19073,53050
Grundy,IA,19075,19075,68038
Guthrie,IA,19077,19077,61161
Hamilton,IA,19079,19079,60910
Hancock,IA,19081,19081,61761
Hardin,IA,19083,19083,54196
Harrison,IA,19085,19085,63854
Henry,IA,19087,19087,53501
Howard,IA,19089,19089,55060
Humboldt,IA,19091,19091,54575
Ida,IA,19093,19093,58427
Iowa,IA,19095,19095,61443
Jackson,IA,19097,19097,55967
Jasper,IA,19099,19099,58952
Jefferson,IA,19101,19101,47708
Johnson,IA,19103,19103,62542
Jones,IA,19105,19105,57549
Keokuk,IA,19107,19107,52881
Kossuth,IA,19109,19109,56073
Lee,IA,19111,19111,49564
Linn,IA,19113,19113,64903
Louisa,IA,19115,19115,56673
Lucas,IA,19117,19117,55205
Lyon,IA,19119,19119,64982
Madison,IA,19121,19121,66316
Mahaska,IA,19123,19123,54825
Marion,IA,19125,19125,61038
Marshall,IA,19127,19127,56437
Mills,IA,19129,19129,72079
Mitchell,IA,19131,19131,58302
Monona,IA,19133,19133,47605
Monroe,IA,19135,19135,58269
Montgomery,IA,19137,19137,51696
Muscatine,IA,19139,19139,58453
O'Brien,IA,19141,19141,53703
Osceola,IA,19143,19143,59725
Page,IA,19145,19145,51867
Palo Alto,IA,19147,19147,52932
Plymouth,IA,19149,19149,67297
Pocahontas,IA,19151,19151,52448
Polk,IA,19153,19153,67637
Pottawattamie,IA,19155,19155,60065
Poweshiek,IA,19157,19157,53852
Ringgold,IA,19159,19159,55271
Sac,IA,19161,19161,58232
Scott,IA,19163,19163,61183
Shelby,IA,19165,19165,58000
Sioux,IA,19167,19167,69844
Story,IA,19169,19169,56756
Tama,IA,19171,19171,56037
Taylor,IA,19173,19173,50431
Union,IA,19175,19175,49900
Van Buren,IA,19177,19177,48591
Wapello,IA,19179,19179,46246
Warren,IA,19181,19181,77048
Washington,IA,19183,19183,62556
Wayne,IA,19185,19185,44768
Webster,IA,19187,19187,47466
Winnebago,IA,19189,19189,49870
Winneshiek,IA,19191,19191,65263
Woodbury,IA,19193,19193,59224
Worth,IA,19195,19195,57130
Wright,IA,19197,19197,53333
Allen,KS,20001,20001,45333
Anderson,KS,20003,20003,50213
Atchison,KS,20005,20005,50439
Barber,KS,20007,20007,50174
Barton,KS,20009,20009,49723
Bourbon,KS,20011,20011,43917
Brown,KS,20013,20013,48333
Butler,KS,20015,20015,64782
Chase,KS,20017,20017,45353
Chautauqua,KS,20019,20019,40298
Cherokee,KS,20021,20021,43175
Cheyenne,KS,20023,20023,47639
Clark,KS,20025,20025,53348
Clay,KS,20027,20027,53929
Cloud,KS,20029,20029,45373
Coffey,KS,20031,20031,59583
Comanche,KS,20033,20033,54821
Cowley,KS,20035,20035,50102
Crawford,KS,20037,20037,41004
Decatur,KS,20039,20039,48125
Dickinson,KS,20041,20041,49991
Doniphan,KS,20043,20043,49703
Douglas,KS,20045,20045,59435
Edwards,KS,20047,20047,50902
Elk,KS,20049,20049,38750
Ellis,KS,20051,20051,52883
Ellsworth,KS,20053,20053,54902
Finney,KS,20055,20055,60798
Ford,KS,20057,20057,51711
Franklin,KS,20059,20059,56582
Geary,KS,20061,20061,53133
Gove,KS,20063,20063,48317
Graham,KS,20065,20065,46375
Grant,KS,20067,20067,53413
Gray,KS,20069,20069,64930
Greeley,KS,20071,20071,54112
Greenwood,KS,20073,20073,41982
Hamilton,KS,20075,20075,46944
Harper,KS,20077,20077,49865
Harvey,KS,20079,20079,57982
Haskell,KS,20081,20081,55064
Hodgeman,KS,20083,20083,61211
Jackson,KS,20085,20085,57914
Jefferson,KS,20087,20087,64864
Jewell,KS,20089,20089,40676
Johnson,KS,20091,20091,89087
Kearny,KS,20093,20093,52599
Kingman,KS,20095,20095,60469
Kiowa,KS,20097,20097,53274
Labette,KS,20099,20099,47643
Lane,KS,20101,20101,52125
Leavenworth,KS,20103,20103,73013
Lincoln,KS,20105,20105,45076
Linn,KS,20107,20107,48778
Logan,KS,20109,20109,51740
Lyon,KS,20111,20111,46338
McPherson,KS,20113,20113,59089
Marion,KS,20115,20115,52123
Marshall,KS,20117,20117,51895
Meade,KS,20119,20119,59316
Miami,KS,20121,20121,71995
Mitchell,KS,20123,20123,46203
Montgomery,KS,20125,20125,45157
Morris,KS,20127,20127,55658
Morton,KS,20129,20129,47750
Nemaha,KS,20131,20131,63216
Neosho,KS,20133,20133,46291
Ness,KS,20135,20135,56492
Norton,KS,20137,20137,49038
Osage,KS,20139,20139,54090
Osborne,KS,20141,20141,51286
Ottawa,KS,20143,20143,54784
Pawnee,KS,20145,20145,49917
Phillips,KS,20147,20147,50093
Pottawatomie,KS,20149,20149,66835
Pratt,KS,20151,20151,52327
Rawlins,KS,20153,20153,53207
Reno,KS,20155,20155,49936
Republic,KS,20157,20157,47976
Rice,KS,20159,20159,53012
Riley,KS,20161,20161,51208
Rooks,KS,20163,20163,49415
Rush,KS,20165,20165,47981
Russell,KS,20167,20167,44792
Saline,KS,20169,20169,52200
Scott,KS,20171,20171,65417
Sedgwick,KS,20173,20173,56524
Seward,KS,20175,20175,49291
Shawnee,KS,20177,20177,56762
Sheridan,KS,20179,20179,62885
Sherman,KS,20181,20181,54754
Smith,KS,20183,20183,43429
Stafford,KS,20185,20185,49375
Stanton,KS,20187,20187,52054
Stevens,KS,20189,20189,57806
Sumner,KS,20191,20191,55000
Thomas,KS,20193,20193,60124
Trego,KS,20195,20195,57966
Wabaunsee,KS,20197,20197,61178
Wallace,KS,20199,20199,63269
Washington,KS,20201,20201,50588
Wichita,KS,20203,20203,57978
Wilson,KS,20205,20205,48341
Woodson,KS,20207,20207,39643
Wyandotte,KS,20209,20209,46881
Adair,KY,21001,21001,38021
Allen,KY,21003,21003,44036
Anderson,KY,21005,21005,55334
Ballard,KY,21007,21007,45048
Barren,KY,21009,21009,41459
Bath,KY,21011,21011,44898
Bell,KY,21013,21013,26272
Boone,KY,21015,21015,78327
Bourbon,KY,21017,21017,49637
Boyd,KY,21019,21019,48308
Boyle,KY,21021,21021,46382
Bracken,KY,21023,21023,49158
Breathitt,KY,21025,21025,27344
Breckinridge,KY,21027,21027,47190
Bullitt,KY,21029,21029,63348
Butler,KY,21031,21031,41763
Caldwell,KY,21033,21033,44775
Calloway,KY,21035,21035,42273
Campbell,KY,21037,21037,63050
Carlisle,KY,21039,21039,45109
Carroll,KY,21041,21041,43524
Carter,KY,21043,21043,34736
Casey,KY,21045,21045,34819
Christian,KY,21047,21047,43919
Clark,KY,21049,21049,54953
Clay,KY,21051,21051,26840
Clinton,KY,21053,21053,32184
Crittenden,KY,21055,21055,45244
Cumberland,KY,21057,21057,35344
Daviess,KY,21059,21059,51673
Edmonson,KY,21061,21061,43401
Elliott,KY,21063,21063,32306
Estill,KY,21065,21065,31688
Fayette,KY,21067,21067,57291
Fleming,KY,21069,21069,44612
Floyd,KY,21071,21071,32730
Franklin,KY,21073,21073,56274
Fulton,KY,21075,21075,30114
Gallatin,KY,21077,21077,52167
Garrard,KY,21079,21079,52631
Grant,KY,21081,21081,48714
Graves,KY,21083,21083,44043
Grayson,KY,21085,21085,38612
Green,KY,21087,21087,35899
Greenup,KY,21089,21089,51655
Hancock,KY,21091,21091,57217
Hardin,KY,21093,21093,54367
Harlan,KY,21095,21095,26478
Harrison,KY,21097,21097,48438
Hart,KY,21099,21099,38396
Henderson,KY,21101,21101,48926
Henry,KY,21103,21103,53926
Hickman,KY,21105,21105,42929
Hopkins,KY,21107,21107,47170
Jackson,KY,21109,21109,32138
Jefferson,KY,21111,21111,56586
Jessamine,KY,21113,21113,58245
Johnson,KY,21115,21115,37055
Kenton,KY,21117,21117,64339
Knott,KY,21119,21119,31198
Knox,KY,21121,21121,30181
Larue,KY,21123,21123,47643
Laurel,KY,21125,21125,41526
Lawrence,KY,21127,21127,32798
Lee,KY,21129,21129,25275
Leslie,KY,21131,21131,31627
Letcher,KY,21133,21133,29886
Lewis,KY,21135,21135,31147
Lincoln,KY,21137,21137,42919
Livingston,KY,21139,21139,50839
Logan,KY,21141,21141,48014
Lyon,KY,21143,21143,52528
McCracken,KY,21145,21145,46080
McCreary,KY,21147,21147,28105
McLean,KY,21149,21149,51861
Madison,KY,21151,21151,50060
Magoffin,KY,21153,21153,28147
Marion,KY,21155,21155,40107
Marshall,KY,21157,21157,55113
Martin,KY,21159,21159,41013
Mason,KY,21161,21161,45377
Meade,KY,21163,21163,56603
Menifee,KY,21165,21165,39325
Mercer,KY,21167,21167,55093
Metcalfe,KY,21169,21169,37386
Monroe,KY,21171,21171,34879
Montgomery,KY,21173,21173,45516
Morgan,KY,21175,21175,36134
Muhlenberg,KY,21177,21177,43590
Nelson,KY,21179,21179,60127
Nicholas,KY,21181,21181,38149
Ohio,KY,21183,21183,45564
Oldham,KY,21185,21185,99128
Owen,KY,21187,21187,48801
Owsley,KY,21189,21189,30284
Pendleton,KY,21191,21191,54375
Perry,KY,21193,21193,33640
Pike,KY,21195,21195,34856
Powell,KY,21197,21197,37469
Pulaski,KY,21199,21199,39998
Robertson,KY,21201,21201,41902
Rockcastle,KY,21203,21203,35720
Rowan,KY,21205,21205,38230
Russell,KY,21207,21207,38390
Scott,KY,21209,21209,70817
Shelby,KY,21211,21211,67056
Simpson,KY,21213,21213,48623
Spencer,KY,21215,21215,80166
Taylor,KY,21217,21217,44522
Todd,KY,21219,21219,44005
Trigg,KY,21221,21221,50536
Trimble,KY,21223,21223,53056
Union,KY,21225,21225,46673
Warren,KY,21227,21227,52270
Washington,KY,21229,21229,53743
Wayne,KY,21231,21231,34914
Webster,KY,21233,21233,42119
Whitley,KY,21235,21235,39005
Wolfe,KY,21237,21237,24623
Woodford,KY,21239,21239,63820
Acadia,LA,22001,22001,43396
Allen,LA,22003,22003,46446
Ascension,LA,22005,22005,80527
Assumption,LA,22007,22007,43759
Avoyelles,LA,22009,22009,38565
Beauregard,LA,22011,22011,53209
Bienville,LA,22013,22013,30272
Bossier,LA,22015,22015,54268
Caddo,LA,22017,22017,41797
Calcasieu,LA,22019,22019,51148
Caldwell,LA,22021,22021,37691
Cameron,LA,22023,22023,53423
Catahoula,LA,22025,22025,40129
Claiborne,LA,22027,22027,26776
Concordia,LA,22029,22029,32500
De Soto,LA,22031,22031,46006
East Baton Rouge,LA,22033,22033,54948
East Carroll,LA,22035,22035,22346
East Feliciana,LA,22037,22037,51803
Evangeline,LA,22039,22039,31965
Franklin,LA,22041,22041,35282
Grant,LA,22043,22043,42505
Iberia,LA,22045,22045,46861
Iberville,LA,22047,22047,50161
Jackson,LA,22049,22049,39139
Jefferson,LA,22051,22051,54032
Jefferson Davis,LA,22053,22053,42105
Lafayette,LA,22055,22055,56999
Lafourche,LA,22057,22057,55506
La Salle,LA,22059,22059,42104
Lincoln,LA,22061,22061,35467
Livingston,LA,22063,22063,63389
Madison,LA,22065,22065,30350
Morehouse,LA,22067,22067,32929
Natchitoches,LA,22069,22069,28567
Orleans,LA,22071,22071,41604
Ouachita,LA,22073,22073,41121
Plaquemines,LA,22075,22075,57204
Pointe Coupee,LA,22077,22077,41480
Rapides,LA,22079,22079,47269
Red River,LA,22081,22081,33816
Richland,LA,22083,22083,34029
Sabine,LA,22085,22085,40336
St. Bernard,LA,22087,22087,44661
St. Charles,LA,22089,22089,69019
St. Helena,LA,22091,22091,43886
St. James,LA,22093,22093,51603
St. John the Baptist,LA,22095,22095,57429
St. Landry,LA,22097,22097,36403
St. Martin,LA,22099,22099,48656
St. Mary,LA,22101,22101,40485
St. Tammany,LA,22103,22103,68905
Tangipahoa,LA,22105,22105,47832
Tensas,LA,22107,22107,27500
Terrebonne,LA,22109,22109,48747
Union,LA,22111,22111,44100
Vermilion,LA,22113,22113,51945
Vernon,LA,22115,22115,49141
Washington,LA,22117,22117,37570
Webster,LA,22119,22119,28951
West Baton Rouge,LA,22121,22121,65385
West Carroll,LA,22123,22123,38500
West Feliciana,LA,22125,22125,59637
Winn,LA,22127,22127,38353
Androscoggin,ME,23001,23001,53509
Aroostook,ME,23003,23003,41123
Cumberland,ME,23005,23005,73072
Franklin,ME,23007,23007,51422
Hancock,ME,23009,23009,57178
Kennebec,ME,23011,23011,55365
Knox,ME,23013,23013,57751
Lincoln,ME,23015,23015,57720
Oxford,ME,23017,23017,49204
Penobscot,ME,23019,23019,50808
Piscataquis,ME,23021,23021,40890
Sagadahoc,ME,23023,23023,63694
Somerset,ME,23025,23025,44256
Waldo,ME,23027,23027,51931
Washington,ME,23029,23029,41347
York,ME,23031,23031,67830
Allegany,MD,24001,24001,45893
Anne Arundel,MD,24003,24003,100798
Baltimore,MD,24005,24005,76866
Calvert,MD,24009,24009,109313
Caroline,MD,24011,24011,58638
Carroll,MD,24013,24013,96769
Cecil,MD,24015,24015,76887
Charles,MD,24017,24017,100003
Dorchester,MD,24019,24019,52917
Frederick,MD,24021,24021,97730
Garrett,MD,24023,24023,52617
Harford,MD,24025,24025,89147
Howard,MD,24027,24027,121160
Kent,MD,24029,24029,58598
Montgomery,MD,24031,24031,108820
Prince George's,MD,24033,24033,84920
Queen Anne's,MD,24035,24035,97034
St. Mary's,MD,24037,24037,89845
Somerset,MD,24039,24039,37803
Talbot,MD,24041,24041,73547
Washington,MD,24043,24043,60860
Wicomico,MD,24045,24045,56956
Worcester,MD,24047,24047,63499
Baltimore City,MD,24510,24510,50379
Barnstable,MA,25001,25001,74336
Berkshire,MA,25003,25003,59230
Bristol,MA,25005,25005,69095
Dukes,MA,25007,25007,71811
Essex,MA,25009,25009,79263
Franklin,MA,25011,25011,60950
Hampden,MA,25013,25013,55429
Hampshire,MA,25015,25015,70876
Middlesex,MA,25017,25017,102603
Nantucket,MA,25019,25019,107717
Norfolk,MA,25021,25021,103291
Plymouth,MA,25023,25023,89489
Suffolk,MA,25025,25025,69669
Worcester,MA,25027,25027,74679
Alcona,MI,26001,26001,40484
Alger,MI,26003,26003,45570
Allegan,MI,26005,26005,62965
Alpena,MI,26007,26007,43363
Antrim,MI,26009,26009,56165
Arenac,MI,26011,26011,42290
Baraga,MI,26013,26013,46065
Barry,MI,26015,26015,64490
Bay,MI,26017,26017,48819
Benzie,MI,26019,26019,57974
Berrien,MI,26021,26021,50795
Branch,MI,26023,26023,51947
Calhoun,MI,26025,26025,48607
Cass,MI,26027,26027,55107
Charlevoix,MI,26029,26029,55760
Cheboygan,MI,26031,26031,48044
Chippewa,MI,26033,26033,46486
Clare,MI,26035,26035,39565
Clinton,MI,26037,26037,70390
Crawford,MI,26039,26039,47977
Delta,MI,26041,26041,47434
Dickinson,MI,26043,26043,51645
Eaton,MI,26045,26045,64348
Emmet,MI,26047,26047,55829
Genesee,MI,26049,26049,48588
Gladwin,MI,26051,26051,44619
Gogebic,MI,26053,26053,38839
Grand Traverse,MI,26055,26055,63575
Gratiot,MI,26057,26057,47848
Hillsdale,MI,26059,26059,49622
Houghton,MI,26061,26061,43183
Huron,MI,26063,26063,48289
Ingham,MI,26065,26065,52872
Ionia,MI,26067,26067,57043
Iosco,MI,26069,26069,43678
Iron,MI,26071,26071,41599
Isabella,MI,26073,26073,45116
Jackson,MI,26075,26075,53658
Kalamazoo,MI,26077,26077,56511
Kalkaska,MI,26079,26079,46898
Kent,MI,26081,26081,63053
Keweenaw,MI,26083,26083,50292
Lake,MI,26085,26085,37320
Lapeer,MI,26087,26087,62641
Leelanau,MI,26089,26089,65249
Lenawee,MI,26091,26091,55450
Livingston,MI,26093,26093,84221
Luce,MI,26095,26095,45469
Mackinac,MI,26097,26097,47938
Macomb,MI,26099,26099,62855
Manistee,MI,26101,26101,50055
Marquette,MI,26103,26103,53970
Mason,MI,26105,26105,51725
Mecosta,MI,26107,26107,45018
Menominee,MI,26109,26109,46828
Midland,MI,26111,26111,62625
Missaukee,MI,26113,26113,47194
Monroe,MI,26115,26115,62203
Montcalm,MI,26117,26117,49448
Montmorency,MI,26119,26119,41772
Muskegon,MI,26121,26121,50854
Newaygo,MI,26123,26123,50326
Oakland,MI,26125,26125,79698
Oceana,MI,26127,26127,50104
Ogemaw,MI,26129,26129,40373
Ontonagon,MI,26131,26131,41546
Osceola,MI,26133,26133,44032
Oscoda,MI,26135,26135,42335
Otsego,MI,26137,26137,54332
Ottawa,MI,26139,26139,69314
Presque Isle,MI,26141,26141,47948
Roscommon,MI,26143,26143,42054
Saginaw,MI,26145,26145,48000
St. Clair,MI,26147,26147,56951
St. Joseph,MI,26149,26149,52086
Sanilac,MI,26151,26151,47672
Schoolcraft,MI,26153,26153,45500
Shiawassee,MI,26155,26155,56032
Tuscola,MI,26157,26157,49988
Van Buren,MI,26159,26159,54485
Washtenaw,MI,26161,26161,72586
Wayne,MI,26163,26163,47301
Wexford,MI,26165,26165,47193
Aitkin,MN,27001,27001,49351
Anoka,MN,27003,27003,82175
Becker,MN,27005,27005,60284
Beltrami,MN,27007,27007,49160
Benton,MN,27009,27009,57715
Big Stone,MN,27011,27011,53900
Blue Earth,MN,27013,27013,57429
Brown,MN,27015,27015,61120
Carlton,MN,27017,27017,63098
Carver,MN,27019,27019,101496
Cass,MN,27021,27021,52204
Chippewa,MN,27023,27023,55269
Chisago,MN,27025,27025,83464
Clay,MN,27027,27027,65269
Clearwater,MN,27029,27029,50386
Cook,MN,27031,27031,57432
Cottonwood,MN,27033,27033,52087
Crow Wing,MN,27035,27035,56549
Dakota,MN,27037,27037,86036
Dodge,MN,27039,27039,74575
Douglas,MN,27041,27041,63819
Faribault,MN,27043,27043,53156
Fillmore,MN,27045,27045,61207
Freeborn,MN,27047,27047,53631
Goodhue,MN,27049,27049,66800
Grant,MN,27051,27051,55466
Hennepin,MN,27053,27053,78167
Houston,MN,27055,27055,60382
Hubbard,MN,27057,27057,56709
Isanti,MN,27059,27059,74616
Itasca,MN,27061,27061,55139
Jackson,MN,27063,27063,58727
Kanabec,MN,27065,27065,57163
Kandiyohi,MN,27067,27067,60294
Kittson,MN,27069,27069,59643
Koochiching,MN,27071,27071,50870
Lac qui Parle,MN,27073,27073,53071
Lake,MN,27075,27075,61452
Lake of the Woods,MN,27077,27077,49967
Le Sueur,MN,27079,27079,71080
Lincoln,MN,27081,27081,53077
Lyon,MN,27083,27083,57730
McLeod,MN,27085,27085,62121
Mahnomen,MN,27087,27087,44688
Marshall,MN,27089,27089,60118
Martin,MN,27091,27091,52798
Meeker,MN,27093,27093,63452
Mille Lacs,MN,27095,27095,56135
Morrison,MN,27097,27097,57815
Mower,MN,27099,27099,54295
Murray,MN,27101,27101,60231
Nicollet,MN,27103,27103,67399
Nobles,MN,27105,27105,55304
Norman,MN,27107,27107,55085
Olmsted,MN,27109,27109,76951
Otter Tail,MN,27111,27111,58682
Pennington,MN,27113,27113,60122
Pine,MN,27115,27115,53422
Pipestone,MN,27117,27117,52917
Polk,MN,27119,27119,59343
Pope,MN,27121,27121,61275
Ramsey,MN,27123,27123,64660
Red Lake,MN,27125,27125,58576
Redwood,MN,27127,27127,55404
Renville,MN,27129,27129,59028
Rice,MN,27131,27131,68584
Rock,MN,27133,27133,63005
Roseau,MN,27135,27135,62202
St. Louis,MN,27137,27137,55646
Scott,MN,27139,27139,102152
Sherburne,MN,27141,27141,89250
Sibley,MN,27143,27143,63439
Stearns,MN,27145,27145,62789
Steele,MN,27147,27147,64903
Stevens,MN,27149,27149,60559
Swift,MN,27151,27151,51620
Todd,MN,27153,27153,53585
Traverse,MN,27155,27155,51957
Wabasha,MN,27157,27157,65226
Wadena,MN,27159,27159,46605
Waseca,MN,27161,27161,56762
Washington,MN,27163,27163,96671
Watonwan,MN,27165,27165,54065
Wilkin,MN,27167,27167,60595
Winona,MN,27169,27169,59329
Wright,MN,27171,27171,84974
Yellow Medicine,MN,27173,27173,59210
Adams,MS,28001,28001,29936
Alcorn,MS,28003,28003,42086
Amite,MS,28005,28005,33981
Attala,MS,28007,28007,33767
Benton,MS,28009,28009,36258
Bolivar,MS,28011,28011,29854
Calhoun,MS,28013,28013,37263
Carroll,MS,28015,28015,46052
Chickasaw,MS,28017,28017,36548
Choctaw,MS,28019,28019,36777
Claiborne,MS,28021,28021,29338
Clarke,MS,28023,28023,43207
Clay,MS,28025,28025,31833
Coahoma,MS,28027,28027,29121
Copiah,MS,28029,28029,42151
Covington,MS,28031,28031,38178
DeSoto,MS,28033,28033,67038
Forrest,MS,28035,28035,39840
Franklin,MS,28037,28037,40219
George,MS,28039,28039,47292
Greene,MS,28041,28041,49677
Grenada,MS,28043,28043,40122
Hancock,MS,28045,28045,48119
Harrison,MS,28047,28047,47894
Hinds,MS,28049,28049,44625
Holmes,MS,28051,28051,21504
Humphreys,MS,28053,28053,28962
Issaquena,MS,28055,28055,24208
Itawamba,MS,28057,28057,44567
Jackson,MS,28059,28059,51657
Jasper,MS,28061,28061,35872
Jefferson,MS,28063,28063,25019
Jefferson Davis,MS,28065,28065,32116
Jones,MS,28067,28067,41775
Kemper,MS,28069,28069,31103
Lafayette,MS,28071,28071,50272
Lamar,MS,28073,28073,60328
Lauderdale,MS,28075,28075,42534
Lawrence,MS,28077,28077,41914
Leake,MS,28079,28079,37096
Lee,MS,28081,28081,50559
Leflore,MS,28083,28083,26735
Lincoln,MS,28085,28085,42606
Lowndes,MS,28087,28087,50441
Madison,MS,28089,28089,71824
Marion,MS,28091,28091,32090
Marshall,MS,28093,28093,42233
Monroe,MS,28095,28095,42354
Montgomery,MS,28097,28097,39840
Neshoba,MS,28099,28099,37987
Newton,MS,28101,28101,35958
Noxubee,MS,28103,28103,33784
Oktibbeha,MS,28105,28105,40453
Panola,MS,28107,28107,38304
Pearl River,MS,28109,28109,46901
Perry,MS,28111,28111,42469
Pike,MS,28113,28113,31784
Pontotoc,MS,28115,28115,44759
Prentiss,MS,28117,28117,39256
Quitman,MS,28119,28119,25283
Rankin,MS,28121,28121,65996
Scott,MS,28123,28123,34943
Sharkey,MS,28125,28125,29394
Simpson,MS,28127,28127,43850
Smith,MS,28129,28129,43105
Stone,MS,28131,28131,45483
Sunflower,MS,28133,28133,30838
Tallahatchie,MS,28135,28135,29864
Tate,MS,28137,28137,51030
Tippah,MS,28139,28139,39246
Tishomingo,MS,28141,28141,37681
Tunica,MS,28143,28143,39370
Union,MS,28145,28145,45754
Walthall,MS,28147,28147,30961
Warren,MS,28149,28149,45113
Washington,MS,28151,28151,29705
Wayne,MS,28153,28153,37706
Webster,MS,28155,28155,45730
Wilkinson,MS,28157,28157,27313
Winston,MS,28159,28159,34724
Yalobusha,MS,28161,28161,41464
Yazoo,MS,28163,28163,33279
Adair,MO,29001,29001,41929
Andrew,MO,29003,29003,58772
Atchison,MO,29005,29005,50236
Audrain,MO,29007,29007,44261
Barry,MO,29009,29009,44403
Barton,MO,29011,29011,44125
Bates,MO,29013,29013,47625
Benton,MO,29015,29015,40249
Bollinger,MO,29017,29017,44158
Boone,MO,29019,29019,55328
Buchanan,MO,29021,29021,51916
Butler,MO,29023,29023,39915
Caldwell,MO,29025,29025,49839
Callaway,MO,29027,29027,56938
Camden,MO,29029,29029,53478
Cape Girardeau,MO,29031,29031,53732
Carroll,MO,29033,29033,50830
Carter,MO,29035,29035,39530
Cass,MO,29037,29037,69433
Cedar,MO,29039,29039,39365
Chariton,MO,29041,29041,46738
Christian,MO,29043,29043,60645
Clark,MO,29045,29045,48909
Clay,MO,29047,29047,70510
Clinton,MO,29049,29049,62701
Cole,MO,29051,29051,60066
Cooper,MO,29053,29053,52735
Crawford,MO,29055,29055,44438
Dade,MO,29057,29057,40399
Dallas,MO,29059,29059,43542
Daviess,MO,29061,29061,51679
DeKalb,MO,29063,29063,55918
Dent,MO,29065,29065,42100
Douglas,MO,29067,29067,37425
Dunklin,MO,29069,29069,36380
Franklin,MO,29071,29071,57214
Gasconade,MO,29073,29073,54885
Gentry,MO,29075,29075,47790
Greene,MO,29077,29077,46086
Grundy,MO,29079,29079,45594
Harrison,MO,29081,29081,42917
Henry,MO,29083,29083,45795
Hickory,MO,29085,29085,34182
Holt,MO,29087,29087,49524
Howard,MO,29089,29089,52700
Howell,MO,29091,29091,38357
Iron,MO,29093,29093,37435
Jackson,MO,29095,29095,55134
Jasper,MO,29097,29097,48357
Jefferson,MO,29099,29099,65454
Johnson,MO,29101,29101,55273
Knox,MO,29103,29103,40000
Laclede,MO,29105,29105,47257
Lafayette,MO,29107,29107,58766
Lawrence,MO,29109,29109,44742
Lewis,MO,29111,29111,45988
Lincoln,MO,29113,29113,64196
Linn,MO,29115,29115,45930
Livingston,MO,29117,29117,46992
McDonald,MO,29119,29119,41643
Macon,MO,29121,29121,42746
Madison,MO,29123,29123,43636
Maries,MO,29125,29125,47569
Marion,MO,29127,29127,48784
Mercer,MO,29129,29129,47298
Miller,MO,29131,29131,47171
Mississippi,MO,29133,29133,35357
Moniteau,MO,29135,29135,58010
Monroe,MO,29137,29137,43966
Montgomery,MO,29139,29139,46757
Morgan,MO,29141,29141,39003
New Madrid,MO,29143,29143,38679
Newton,MO,29145,29145,50813
Nodaway,MO,29147,29147,44232
Oregon,MO,29149,29149,33601
Osage,MO,29151,29151,61687
Ozark,MO,29153,29153,31947
Pemiscot,MO,29155,29155,33859
Perry,MO,29157,29157,55863
Pettis,MO,29159,29159,46157
Phelps,MO,29161,29161,44154
Pike,MO,29163,29163,46385
Platte,MO,29165,29165,80393
Polk,MO,29167,29167,45660
Pulaski,MO,29169,29169,53492
Putnam,MO,29171,29171,42849
Ralls,MO,29173,29173,55377
Randolph,MO,29175,29175,47740
Ray,MO,29177,29177,61957
Reynolds,MO,29179,29179,40324
Ripley,MO,29181,29181,34971
St. Charles,MO,29183,29183,84978
St. Clair,MO,29185,29185,38870
Ste. Genevieve,MO,29186,29186,60129
St. Francois,MO,29187,29187,46466
St. Louis,MO,29189,29189,67420
Saline,MO,29195,29195,44720
Schuyler,MO,29197,29197,42694
Scotland,MO,29199,29199,50085
Scott,MO,29201,29201,44139
Shannon,MO,29203,29203,34265
Shelby,MO,29205,29205,44083
Stoddard,MO,29207,29207,41062
Stone,MO,29209,29209,49656
Sullivan,MO,29211,29211,46481
Taney,MO,29213,29213,46031
Texas,MO,29215,29215,35067
Vernon,MO,29217,29217,43276
Warren,MO,29219,29219,60125
Washington,MO,29221,29221,41483
Wayne,MO,29223,29223,34316
Webster,MO,29225,29225,50560
Worth,MO,29227,29227,53580
Wright,MO,29229,29229,34776
St. Louis City,MO,29510,29510,43896
Beaverhead,MT,30001,30001,43201
Big Horn,MT,30003,30003,49859
Blaine,MT,30005,30005,41279
Broadwater,MT,30007,30007,60594
Carbon,MT,30009,30009,58707
Carter,MT,30011,30011,48000
Cascade,MT,30013,30013,49913
Chouteau,MT,30015,30015,42298
Custer,MT,30017,30017,52965
Daniels,MT,30019,30019,57440
Dawson,MT,30021,30021,58596
Deer Lodge,MT,30023,30023,41820
Fallon,MT,30025,30025,64545
Fergus,MT,30027,30027,50540
